state,electorate,site_id,latitude,longitude,legs,description,layout_1,layout_1_enter,layout_2,layout_2_enter,layout_3,layout_3_enter,layout_4,layout_4_enter,layout_5,layout_5_enter,layout_6,layout_6_enter,leg1-2,leg1-3,leg1-4,leg1-5,leg1-6,leg2-1,leg2-3,leg2-4,leg2-5,leg2-6,leg3-1,leg3-2,leg3-4,leg3-5,leg3-6,leg4-1,leg4-2,leg4-3,leg4-5,leg4-6,leg5-1,leg5-2,leg5-3,leg5-4,leg5-6,leg6-1,leg6-2,leg6-3,leg6-4,leg6-5,leg1_enter,leg1_exit,leg1_total,leg2_enter,leg2_exit,leg2_total,leg3_enter,leg3_exit,leg3_total,leg4_enter,leg4_exit,leg4_total,leg5_enter,leg5_exit,leg5_total,leg6_enter,leg6_exit,leg6_total,female,male,not known,total,year,7:00 AM,7:15 AM,7:30 AM,7:45 AM,8:00 AM,8:15 AM,8:30 AM,8:45 AM,location,geolocation
VIC,Melbourne,4429,-37.812531,144.953873,4,"La Trobe [E], King St (city) [S], La Trobe St [W], King St [N]",70,250,160,340,250,70,340,160,,,,,16,236,6,,,0,1,1,,,317,34,2,,,11,15,15,,,,,,,,,,,,,258,328,586,2,65,67,353,252,605,41,9,50,,,,,,,147,507,0,654,2017,27,54,62,86,94,118,109,104,POINT (144.953873 -37.812531),"-37.812531, 144.953873"
VIC,Melbourne,4434,-37.815277,144.974854,3,"Wellington Pde [E], Flinders St [W], Spring St [N]",98,278,250,70,340,160,,,,,,,49,44,,,,22,98,,,,8,23,,,,,,,,,,,,,,,,,,,93,30,123,120,72,192,31,142,173,,,,,,,,,,88,156,0,244,2017,15,18,29,30,40,27,46,39,POINT (144.974854 -37.815277),"-37.815277, 144.974854"
VIC,Melbourne,4436,-37.817448,144.967438,4,"Flinders St [E], Swanston St [S], Flinders St [W], Swanston St [N]",70,250,160,340,250,70,340,160,,,,,60,51,2,,,101,97,949,,,41,24,7,,,7,472,5,,,,,,,,,,,,,113,149,262,1147,556,1703,72,153,225,484,958,1442,,,,,,,532,1263,21,1816,2017,97,119,209,200,274,294,341,282,POINT (144.967438 -37.817448),"-37.817448, 144.967438"
VIC,Melbourne,4437,-37.818424,144.973917,3,"The footbridge [E], William Barak Footbridge [SE], Path to Swanston St [W]",86,266,113,293,267,87,,,,,,,1,573,,,,2,372,,,,119,71,,,,,,,,,,,,,,,,,,,574,121,695,374,72,446,190,945,1135,,,,,,,,,,258,880,0,1138,2017,69,99,132,158,180,188,183,129,POINT (144.973917 -37.818424),"-37.818424, 144.973917"
VIC,Melbourne,4440,-37.81992,144.96138,4,"Banana Alley [E], Queensbridge St [S], William St [W], Market St [N]",70,250,180,,250,70,350,170,,,,,115,52,219,,,9,138,220,,,13,55,6,,,0,55,0,,,,,,,,,,,,,386,22,408,367,225,592,74,190,264,55,445,500,,,,,,,185,697,0,882,2017,53,86,90,121,134,145,130,123,POINT (144.96138 -37.81992),"-37.81992, 144.96138"
VIC,Melbourne,4443,-37.8211,144.955046,4,"Flinders St towards Spring St [E], Spencer St [S], Flinders St [W], Spencer St [N]",70,250,162,342,250,70,342,162,,,,,6,38,2,,,14,25,137,,,8,0,2,,,1,51,3,,,,,,,,,,,,,46,23,69,176,57,233,10,66,76,55,141,196,,,,,,,74,200,13,287,2017,28,24,39,33,36,34,47,46,POINT (144.955046 -37.8211),"-37.8211, 144.955046"
VIC,Melbourne,4399,-37.787979,144.959,2,"Royal Pde/shared path [N], Royal Pde/shared path [S]",5,185,186,6,,,,,,,,,1393,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,1393,32,1425,32,1393,1425,,,,,,,,,,,,,612,813,0,1425,2017,72,78,126,160,204,240,258,287,POINT (144.959 -37.787979),"-37.787979, 144.959"
VIC,Melbourne,4450,-37.825213,144.957006,5,"Whiteman St [NE], Clarendon St [S], Whiteman St [SW], Normanby Rd/Trail [SW], Clarendon St [N]",50,230,160,340,213,33,236,56,340,160,,,0,3,29,3,,3,0,2,208,,0,0,0,67,,15,3,0,435,,6,119,50,246,,,,,,,35,24,59,213,122,335,67,53,120,453,277,730,421,713,1134,,,,315,871,3,1189,2017,96,133,105,147,150,194,168,196,POINT (144.957006 -37.825213),"-37.825213, 144.957006"
VIC,Melbourne,4439,-37.819073,144.954158,4,"Collins St towards Collins St [E], Spencer St [S], Collins St [W], Spencer St [N]",70,250,160,340,250,70,340,160,,,,,9,60,5,,,17,14,66,,,95,48,3,,,4,61,11,,,,,,,,,,,,,74,116,190,97,118,215,146,85,231,76,74,150,,,,,,,82,311,0,393,2017,38,49,45,40,53,51,70,47,POINT (144.954158 -37.819073),"-37.819073, 144.954158"
VIC,Melbourne,4421,-37.809612,144.963791,4,"La Trobe St [E], Swanston St (city) [S], La Trobe St [W], Swanston St [N]",70,250,160,340,250,70,340,160,,,,,87,422,8,,,26,19,263,,,159,34,9,,,37,470,29,,,,,,,,,,,,,517,222,739,308,591,899,202,470,672,536,280,816,,,,,,,523,1039,1,1563,2017,53,93,171,160,239,248,316,283,POINT (144.963791 -37.809612),"-37.809612, 144.963791"
