state,electorate,site_id,latitude,longitude,legs,description,layout_1,layout_1_enter,layout_2,layout_2_enter,layout_3,layout_3_enter,layout_4,layout_4_enter,layout_5,layout_5_enter,layout_6,layout_6_enter,leg1-2,leg1-3,leg1-4,leg1-5,leg1-6,leg2-1,leg2-3,leg2-4,leg2-5,leg2-6,leg3-1,leg3-2,leg3-4,leg3-5,leg3-6,leg4-1,leg4-2,leg4-3,leg4-5,leg4-6,leg5-1,leg5-2,leg5-3,leg5-4,leg5-6,leg6-1,leg6-2,leg6-3,leg6-4,leg6-5,leg1_enter,leg1_exit,leg1_total,leg2_enter,leg2_exit,leg2_total,leg3_enter,leg3_exit,leg3_total,leg4_enter,leg4_exit,leg4_total,leg5_enter,leg5_exit,leg5_total,leg6_enter,leg6_exit,leg6_total,female,male,not known,total,year,7:00 AM,7:15 AM,7:30 AM,7:45 AM,8:00 AM,8:15 AM,8:30 AM,8:45 AM,location,geolocation
VIC,Melbourne,4405,-37.793993,144.941956,3,"Melrose St [N], Melrose St [S], Mark St [W]",8,188,188,8,278,98,,,,,,,13,0,,,,6,0,,,,1,0,,,,,,,,,,,,,,,,,,,13,7,20,6,13,19,1,0,1,,,,,,,,,,,,20,20,2010,,,,,,,,,POINT (144.941956 -37.793993),"-37.793993, 144.941956"
VIC,Melbourne,4417,-37.808903,144.966278,4,"La Trobe St [E], Russell St (city) [S], La Trobe St [W], Russell St [N]",70,250,160,340,250,70,340,160,,,,,22,251,1,,,0,3,8,,,57,15,3,,,1,49,27,,,,,,,,,,,,,274,58,332,11,86,97,75,281,356,77,12,89,,,,,,,,,437,437,2010,,,,,,,,,POINT (144.966278 -37.808903),"-37.808903, 144.966278"
VIC,Melbourne,4438,-37.818619,144.970248,3,"Princes Walk [E], Low Path to river bank [SW], High Path to Swanston St [W]",85,265,245,65,278,98,,,,,,,154,115,,,,67,9,,,,41,11,,,,,,,,,,,,,,,,,,,269,108,377,76,165,241,52,124,176,,,,,,,,,,,,397,397,2010,,,,,,,,,POINT (144.970248 -37.818619),"-37.818619, 144.970248"
VIC,Melbourne,4405,-37.793993,144.941956,3,"Melrose St [N], Melrose St [S], Mark St [W]",8,188,188,8,278,98,,,,,,,8,0,,,,4,0,,,,0,4,,,,,,,,,,,,,,,,,,,8,4,12,4,12,16,4,0,4,,,,,,,,,,,,16,16,2011,,,,,,,,,POINT (144.941956 -37.793993),"-37.793993, 144.941956"
VIC,Melbourne,4443,-37.8211,144.955046,4,"Flinders St towards Spring St [E], Spencer St [S], Flinders St [W], Spencer St [N]",70,250,162,342,250,70,342,162,,,,,5,27,0,,,11,10,102,,,22,7,7,,,0,35,11,,,,,,,,,,,,,32,33,65,123,47,170,36,48,84,46,109,155,,,,,,,,,237,237,2011,,,,,,,,,POINT (144.955046 -37.8211),"-37.8211, 144.955046"
VIC,Melbourne,4446,-37.823105,144.977808,2,"Upstream direction [SE], Capital City Trail [NW]",143,323,323,143,,,,,,,,,675,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,675,62,737,62,675,737,,,,,,,,,,,,,,,737,737,2011,,,,,,,,,POINT (144.977808 -37.823105),"-37.823105, 144.977808"
VIC,Melbourne,4449,-37.824209,144.952186,4,"South Wharf Prom [E], Capital City Trail [SE], Capital City Trail [W], Seafarers Bridge [N]",83,263,125,305,262,82,340,160,,,,,0,3,0,,,198,58,0,,,191,30,0,,,0,32,7,,,,,,,,,,,,,3,389,392,256,62,318,221,68,289,39,0,39,,,,,,,,,519,519,2011,,,,,,,,,POINT (144.952186 -37.824209),"-37.824209, 144.952186"
VIC,Melbourne,4450,-37.825213,144.957006,5,"Whiteman St [NE], Clarendon St [S], Whiteman St [SW], Normanby Rd/Trail [SW], Clarendon St [N]",50,230,160,340,213,33,236,56,340,160,,,1,,7,5,,0,,1,107,,,,,,,10,3,,321,,9,49,,49,,,,,,,13,19,32,108,53,161,,,,334,57,391,107,433,540,,,,,,562,562,2011,,,,,,,,,POINT (144.957006 -37.825213),"-37.825213, 144.957006"
VIC,Melbourne,4983,-37.810411,144.983541,4,"Clarendon St [N], Albert St [E], Clarendon St [S], Albert St [W]",7,187,98,278,187,7,279,99,,,,,8,164,95,,,1,5,150,,,26,1,62,,,2,18,46,,,,,,,,,,,,,267,29,296,156,27,183,89,215,304,66,307,373,,,,,,,,,578,578,2011,,,,,,,,,POINT (144.983541 -37.810411),"-37.810411, 144.983541"
VIC,Melbourne,4399,-37.787979,144.959,2,"Royal Pde/shared path [N], Royal Pde/shared path [S]",5,185,186,6,,,,,,,,,1130,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,1130,57,1187,57,1130,1187,,,,,,,,,,,,,,,1187,1187,2012,,,,,,,,,POINT (144.959 -37.787979),"-37.787979, 144.959"
VIC,Melbourne,4409,-37.795421,144.93885,5,"Boundary Rd [N], Canning St [E], Macaulay Rd [SE], Boundary Rd [S], Macaulay Rd [W]",8,188,98,278,140,320,188,8,278,98,,,0,4,0,3,,0,0,0,5,,1,0,1,11,,1,1,0,1,,0,26,135,0,,,,,,,7,2,9,5,27,32,13,139,152,3,1,4,161,20,181,,,,,,189,189,2012,,,,,,,,,POINT (144.93885 -37.795421),"-37.795421, 144.93885"
